Book,Author(s),Original language,First published,Approximate sales,Genre
A Tale of Two Cities,Charles Dickens,English,1859,200000000,Historical Fiction
The Little Prince,Antoine de Saint-Exupery,French,1943,200000000,Novel
Harry Potter and the Philosopher's Stone,J. K. Rowling,English,1997,120000000,Fantasy
And Then There Were None,Agatha Christie,English,1939,100000000,Mystery
Dream of the Red Chamber,Cao Xueqin,Chinese,1791,100000000,Family Saga
The Hobbit,J. R. R. Tolkien,English,1937,100000000,Fantasy
"The Lion, the Witch and the Wardrobe",C. S. Lewis,English,1950,85000000,Fantasy
She: A History of Adventure,H. Rider Haggard,English,1887,83000000,Mystery
The Da Vinci Code,Dan Brown,English,2003,80000000,Mystery
Harry Potter and the Chamber of Secrets,J. K. Rowling,English,1998,77000000,Fantasy
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,English,1999,65000000,Fantasy
Harry Potter and the Goblet of Fire,J. K. Rowling,English,2000,65000000,Fantasy
Harry Potter and the Order of the Phoenix,J. K. Rowling,English,2003,65000000,Fantasy
Harry Potter and the Half-Blood Prince,J. K. Rowling,English,2005,65000000,Fantasy
Harry Potter and the Deathly Hallows,J. K. Rowling,English,2007,65000000,Fantasy
The Alchemist,Paulo Coelho,Portuguese,1988,65000000,Fantasy
The Catcher in the Rye,J. D. Salinger,English,1951,65000000,Novel
The Bridges of Madison County,Robert James Waller,English,1992,60000000,Romance
Ben-Hur: A Tale of the Christ,Lew Wallace,English,1880,50000000,Historical Fiction
You Can Heal Your Life,Louise Hay,English,1984,50000000,Self-Help
One Hundred Years of Solitude,Gabriel Garcia Marquez,Spanish,1967,50000000,Fiction
Lolita,Vladimir Nabokov,English,1955,50000000,Novel
Heidi,Johanna Spyri,German,1880,50000000,Children's Fiction
The Common Sense Book of Baby and Child Care,Benjamin Spock,English,1946,50000000,Manual
Anne of Green Gables,Lucy Maud Montgomery,English,1908,50000000,Children's Novel
Black Beauty,Anna Sewell,English,1877,50000000,Children's Literature
The Name of the Rose,Umberto Eco,Italian,1980,50000000,Mystery
The Eagle Has Landed,Jack Higgins,English,1975,50000000,Coming  Of Age
Watership Down,Richard Adams,English,1972,50000000,Fantasy
The Hite Report,Shere Hite,English,1976,50000000,Sexology
Charlotte's Web,E. B. White,English,1952,50000000,Children's Fiction
The Ginger Man,J. P. Donleavy,English,1955,50000000,Novel
The Tale of Peter Rabbit,Beatrix Potter,English,1902,45000000,Children's Literature
Jonathan Livingston Seagull,Richard Bach,English,1970,44000000,Self-Help
The Very Hungry Caterpillar,Eric Carle,English,1969,43000000,Children's Literature
A Message to Garcia,Elbert Hubbard,English,1899,40000000,Literature
To Kill a Mockingbird,Harper Lee,English,1960,40000000,Coming  Of Age
Flowers in the Attic,V. C. Andrews,English,1979,40000000,Horror
Cosmos,Carl Sagan,English,1980,40000000,Historical Novel
Sophie's World,Jostein Gaarder,Norwegian,1991,40000000,Novel
Angels & Demons,Dan Brown,English,2000,39000000,Mystery
Kane and Abel,Jeffrey Archer,English,1979,37000000,Novel
How the Steel Was Tempered,Nikolai Ostrovsky,Russian,1932,36400000,Novel
War and Peace,Leo Tolstoy,Russian,1869,36000000,Historical Novel
The Adventures of Pinocchio,Carlo Collodi,Italian,1881,35000000,Children's Fiction
The Diary of Anne Frank,Anne Frank,Dutch,1947,35000000,Historical
Your Erroneous Zones,Wayne Dyer,English,1976,35000000,Self-Help
The Thorn Birds,Colleen McCullough,English,1977,33000000,Romance
The Purpose Driven Life,Rick Warren,English,2002,33000000,Christian Literature
The Kite Runner,Khaled Hosseini,English,2003,31500000,Historical
Valley of the Dolls,Jacqueline Susann,English,1966,31000000,Novel
Alcoholics Anonymous Big Book,Bill Wilson,English,1939,30000000,Self-Help
How to Win Friends and Influence People,Dale Carnegie,English,1936,30000000,Self-Help
The Great Gatsby,F. Scott Fitzgerald,English,1925,30000000,Novel
Gone with the Wind,Margaret Mitchell,English,1936,30000000,Historical Fiction
Rebecca,Daphne du Maurier,English,1938,30000000,Novel
Nineteen Eighty-Four,George Orwell,English,1949,30000000,Social Science
The Revolt of Mamie Stover,William Bradford Huie,English,1951,30000000,Fiction
The Girl with the Dragon Tattoo,Stieg Larsson,Swedish,2005,30000000,Fiction
The Lost Symbol,Dan Brown,English,2009,30000000,Fiction
The Hunger Games,Suzanne Collins,English,2008,29000000,Young Adult Fiction
James and the Giant Peach,Roald Dahl,English,1961,28000000,Children's Novel
The Young Guard,Alexander Alexandrovich Fadeyev,Russian,1945,26000000,Historical Novel
Who Moved My Cheese?,Spencer Johnson,English,1998,26000000,Self-Help
A Brief History of Time,Stephen Hawking,English,1988,25000000,Popular Science
Paul et Virginie,Jacques-Henri Bernardin de Saint-Pierre,French,1788,25000000,Novel
Lust for Life,Irving Stone,English,1934,25000000,Biographical Novel
The Wind in the Willows,Kenneth Grahame,English,1908,25000000,Children's Literature
